numero_asociado,ramo_industrial,clave_del_producto,estado,fecha_factura
105183,M7,CAS012006,Pendiente,
105184,M4,CAS011997,Pendiente,
105184,M4,CAS011998,Pendiente,
105184,M4,CAS011999,Pendiente,
105184,M4,CAS012000,Pendiente,
105184,M4,CAS012001,Pendiente,
105184,M4,CAS012002,Pendiente,
105184,M4,CAS012003,Pendiente,
105184,M4,CAS012004,Pendiente,
105184,M4,CAS012005,Pendiente,
105184,M4,CAS012006,Pendiente,
105184,M4,CAS012007,Pendiente,
105185,M4,CAS011996,Pendiente,
105185,M4,CAS011997,Pendiente,
105185,M4,CAS011998,Pendiente,
105185,M4,CAS011999,Pendiente,
105185,M4,CAS012000,Pendiente,
105185,M4,CAS012001,Pendiente,
105185,M4,CAS012002,Pendiente,
105185,M4,CAS012003,Pendiente,
105185,M4,CAS012004,Pendiente,
105185,M4,CAS012005,Pendiente,
105185,M4,CAS012006,Pendiente,
105185,M4,CAS012007,Pendiente,
105186,M4,CAS011996,Pendiente,
105186,M4,CAS011997,Pendiente,
105186,M4,CAS011998,Pendiente,
105186,M4,CAS011999,Pendiente,
105186,M4,CAS012000,Pendiente,
105186,M4,CAS012001,Pendiente,
105186,M4,CAS012002,Pendiente,
105186,M4,CAS012003,Pendiente,
105186,M4,CAS012004,Pendiente,
105186,M4,CAS012005,Pendiente,
105186,M4,CAS012006,Pendiente,
105186,M4,CAS012007,Pendiente,
105187,M4,CAS012001,Pendiente,
105187,M4,CAS012002,Pendiente,
105187,M4,CAS012003,Pendiente,
105187,M4,CAS012004,Pendiente,
105187,M4,CAS012005,Pendiente,
105187,M4,CAS012006,Pendiente,
105189,M4,CAS011997,Pendiente,
105189,M4,CAS011998,Pendiente,
105189,M4,CAS011999,Pendiente,
105189,M4,CAS012000,Pendiente,
105189,M4,CAS012001,Pendiente,
105189,M4,CAS012002,Pendiente,
105189,M4,CAS012003,Pendiente,
105189,M4,CAS012004,Pendiente,
105189,M4,CAS012005,Pendiente,
105189,M4,CAS012006,Pendiente,
105189,M4,CAS012007,Pendiente,
105190,M4,CAS011995,Pendiente,
105190,M4,CAS011996,Pendiente,
105190,M4,CAS011997,Pendiente,
105190,M4,CAS011998,Pendiente,
105190,M4,CAS011999,Pendiente,
105190,M4,CAS012000,Pendiente,
105190,M4,CAS012001,Pendiente,
105190,M4,CAS012002,Pendiente,
105190,M4,CAS012003,Pendiente,
105190,M4,CAS012004,Pendiente,
105190,M4,CAS012005,Pendiente,
105190,M4,CAS012006,Pendiente,
105193,M4,CAS012001,Pendiente,
105193,M4,CAS012002,Pendiente,
105193,M4,CAS012003,Pendiente,
105193,M4,CAS012004,Pendiente,
105193,M4,CAS012005,Pendiente,
105193,M4,CAS012006,Pendiente,
105194,M4,CAS012001,Pendiente,
105194,M4,CAS012002,Pendiente,
105194,M4,CAS012003,Pendiente,
105194,M4,CAS012004,Pendiente,
105194,M4,CAS012005,Pendiente,
105194,M4,CAS012006,Pendiente,
105195,M4,CAS012001,Pendiente,
105195,M4,CAS012002,Pendiente,
105195,M4,CAS012003,Pendiente,
105195,M4,CAS012004,Pendiente,
105195,M4,CAS012005,Pendiente,
105195,M4,CAS012006,Pendiente,
105195,M4,CAS012007,Pendiente,
105196,M1,CAS012001,Pendiente,
105200,M4,CAS012001,Pendiente,
105200,M4,CAS012002,Pendiente,
105200,M4,CAS012003,Pendiente,
105200,M4,CAS012004,Pendiente,
105200,M4,CAS012005,Pendiente,
105200,M4,CAS012006,Pendiente,
105201,M2,CAS012004,Pendiente,
105201,M2,CAS012005,Pendiente,
105201,M2,CAS012006,Pendiente,
105201,M2,CAS012007,Pendiente,
105202,M7,CAS011992,Pendiente,
105202,M7,CAS011995,Pendiente,
105202,M7,CAS011997,Pendiente,
105202,M7,CAS011998,Pendiente,
105202,M7,CAS011999,Pendiente,
105202,M7,CAS012001,Pendiente,
105202,M7,CAS012002,Pendiente,
105202,M7,CAS012003,Pendiente,
105202,M7,CAS012004,Pendiente,
105202,M7,CAS012005,Pendiente,
105202,M7,CAS012006,Pendiente,
105204,M4,CAS012001,Pendiente,
105204,M4,CAS012002,Pendiente,
105204,M4,CAS012003,Pendiente,
105204,M4,CAS012004,Pendiente,
105204,M4,CAS012005,Pendiente,
105204,M4,CAS012006,Pendiente,
105205,M4,CAS011995,Pendiente,
105205,M4,CAS011996,Pendiente,
105205,M4,CAS011997,Pendiente,
105205,M4,CAS012001,Pendiente,
105205,M4,CAS012002,Pendiente,
105205,M4,CAS012003,Pendiente,
105205,M4,CAS012004,Pendiente,
105205,M4,CAS012005,Pendiente,
105205,M4,CAS012006,Pendiente,
105206,M4,CAS012000,Pendiente,
105206,M4,CAS012001,Pendiente,
105206,M4,CAS012002,Pendiente,
105206,M4,CAS012003,Pendiente,
105206,M4,CAS012004,Pendiente,
105206,M4,CAS012005,Pendiente,
105206,M4,CAS012006,Pendiente,
105206,M4,CAS012007,Pendiente,
105207,M4,CAS011995,Pendiente,
105207,M4,CAS011996,Pendiente,
105207,M4,CAS011997,Pendiente,
105207,M4,CAS011998,Pendiente,
105207,M4,CAS011999,Pendiente,
105207,M4,CAS012001,Pendiente,
105207,M4,CAS012002,Pendiente,
105207,M4,CAS012003,Pendiente,
105207,M4,CAS012004,Pendiente,
105207,M4,CAS012005,Pendiente,
105207,M4,CAS012006,Pendiente,
105207,M4,CAS012007,Pendiente,
105208,M1,CAS011998,Pendiente,
105208,M1,CAS012001,Pendiente,
105208,M1,CAS012002,Pendiente,
105208,M1,CAS012003,Pendiente,
105208,M1,CAS012004,Pendiente,
105208,M1,CAS012005,Pendiente,
105208,M1,CAS012006,Pendiente,
105208,M1,CAS022005,Pendiente,
105208,M1,CAS022006,Pendiente,
105209,M4,CAS012001,Pendiente,
105209,M4,CAS012002,Pendiente,
105209,M4,CAS012003,Pendiente,
105209,M4,CAS012004,Pendiente,
105209,M4,CAS012005,Pendiente,
105209,M4,CAS012006,Pendiente,
105211,M4,CAS012001,Pendiente,
105211,M4,CAS012002,Pendiente,
105211,M4,CAS012003,Pendiente,
105211,M4,CAS012004,Pendiente,
105211,M4,CAS012005,Pendiente,
105211,M4,CAS012006,Pendiente,
105211,M4,CAS012007,Pendiente,
105213,M4,CAS022004,Pendiente,
105213,M4,CAS022005,Pendiente,
105213,M4,CAS022006,Pendiente,
105213,M4,CAS012004,Pendiente,
105213,M4,CAS012005,Pendiente,
105213,M4,CAS012006,Pendiente,
105214,M4,CAS011998,Pendiente,
105214,M4,CAS011999,Pendiente,
105214,M4,CAS012000,Pendiente,
105214,M4,CAS012001,Pendiente,
105214,M4,CAS012002,Pendiente,
105214,M4,CAS012003,Pendiente,
105214,M4,CAS012004,Pendiente,
105214,M4,CAS012005,Pendiente,
105214,M4,CAS012006,Pendiente,
105216,M2,CAS011992,Pendiente,
105216,M2,CAS011995,Pendiente,
105216,M2,CAS011997,Pendiente,
105216,M2,CAS011998,Pendiente,
105216,M2,CAS011999,Pendiente,
105216,M2,CAS012000,Pendiente,
105216,M2,CAS012001,Pendiente,
105217,M1,CAS012006,Pendiente,
105218,M4,CAS011992,Pendiente,
105218,M4,CAS011995,Pendiente,
105218,M4,CAS011997,Pendiente,
105218,M4,CAS011998,Pendiente,
105218,M4,CAS011999,Pendiente,
105218,M4,CAS012000,Pendiente,
105218,M4,CAS012001,Pendiente,
105218,M4,CAS012002,Pendiente,
105218,M4,CAS012003,Pendiente,
105218,M4,CAS012004,Pendiente,
105218,M4,CAS012005,Pendiente,
105218,M4,CAS012006,Pendiente,
105219,M2,CAS012005,Pendiente,
105219,M2,CAS012006,Pendiente,
105219,M2,CAS012007,Pendiente,
105220,M2,CAS011996,Pendiente,
105220,M2,CAS011997,Pendiente,
105220,M2,CAS011998,Pendiente,
105220,M2,CAS011999,Pendiente,
105220,M2,CAS012000,Pendiente,
105220,M2,CAS012001,Pendiente,
105221,M4,CAS011995,Pendiente,
105221,M4,CAS011996,Pendiente,
105221,M4,CAS011997,Pendiente,
105221,M4,CAS011998,Pendiente,
105221,M4,CAS011999,Pendiente,
105221,M4,CAS012000,Pendiente,
105221,M4,CAS012001,Pendiente,
105221,M4,CAS012002,Pendiente,
105221,M4,CAS012003,Pendiente,
105221,M4,CAS012004,Pendiente,
105221,M4,CAS012005,Pendiente,
105221,M4,CAS012006,Pendiente,
105221,M4,CAS012007,Pendiente,
105223,M2,CAS011997,Pendiente,
105223,M2,CAS011998,Pendiente,
105223,M2,CAS011999,Pendiente,
105223,M2,CAS012000,Pendiente,
105223,M2,CAS012001,Pendiente,
105224,M9,CAS012003,Pendiente,
105224,M9,CAS012004,Pendiente,
105224,M9,CAS012005,Pendiente,
105224,M9,CAS012006,Pendiente,
105225,M4,CAS012001,Pendiente,
105225,M4,CAS012002,Pendiente,
105225,M4,CAS012003,Pendiente,
105225,M4,CAS012004,Pendiente,
105225,M4,CAS012005,Pendiente,
105225,M4,CAS012006,Pendiente,
105228,M6,CAS012001,Pendiente,
105229,M9,CAS012002,Pendiente,
105229,M9,CAS012003,Pendiente,
105229,M9,CAS012004,Pendiente,
105229,M9,CAS012005,Pendiente,
105229,M9,CAS012006,Pendiente,
105231,M2,CAS012001,Pendiente,
105231,M2,CAS012002,Pendiente,
105231,M2,CAS012003,Pendiente,
